FULLPOLICY_NB,POLICYEFFECTIVE_DT,ACCOUNTING_MONTH,INSUREDITEM_TP,POLICYRATEDSTATE_TP,RATEDCOUNTY_TP,ZIP,HAZARD_SCORE,INTEGRATEDCOVERAGE_TP,PROPERTYCOVERAGESUBTYPE_TP,CONSTRUCTION_TP,ROOF_TP,DWELLINGSQUAREFEET_CT,DWELLINGSTORY_CT,HOME_AGE_YR,HAS_MORTGAGE,RATEDINSUREDAGE_CT,MERITPOINT_CT,CREDITMODEL_CD,AGENT_CHANNEL,DIRECTWRITTENPREMIUM_AM,EARNEDPREMIUM_AM,TAX_AM,COMMISSION_EXPENSE_AM,ADMIN_EXPENSE_AM,PPCVRGLIMIT_AM,GROSSLOSSPAIO_AM,CLAIMCOUNT_CT,EARNEDEXPOSURE_CT,WRITENEXPOSURE_CT,POLICYTERM_CT,SEASONAL_IN,MULTIPRODUCTDISCOUNT_FLAG,DelequencyFlag,DiscountRate,New_Existing_Recurring_Flag,NETLOSS_PAID_AM,POLICY_RENEWED_FLAG
HA00000046,2023-10-09,2023-10,18,48,1795,77840,0.44,HO3,2511,1,2,2970,2,13,True,43,9,ASSIST03,Independent,7493.54,6931.52,337.21,1124.03,274.81,360464.95,0.0,0,1.0,1.0,12,False,True,False,0.0803,Existing,0.0,True
HA00000047,2022-01-21,2022-01,18,12,666,33101,0.5,HO3,2511,1,1,1765,3,34,True,46,9,ASSIST03,Independent,1478.07,1367.21,66.51,221.71,94.34,376839.49,0.0,0,1.0,1.0,12,False,False,True,0.0334,New,0.0,True
HA00000048,2024-04-20,2024-04,7,12,1650,32901,0.65,MHO,2511,1,2,3085,1,59,True,34,2,ASSIST03,Independent,3466.61,3206.61,156.0,519.99,154.0,1668973.14,29108.4,1,1.0,1.0,12,False,False,False,0.1457,Recurring,24108.4,True
HA00000049,2022-06-16,2022-06,7,26,1202,48503,0.25,MHO,2537,1,1,2750,1,56,True,37,9,ASSIST03,Independent,3917.55,3623.73,176.29,587.63,167.53,580905.06,0.0,0,1.0,1.0,12,False,True,False,0.0617,Existing,0.0,True
HA00000050,2025-07-21,2025-07,18,06,1153,95008,0.22,HO3,2500,2,1,2263,2,28,True,51,3,INTRNL06,Independent,1836.49,1698.75,82.64,275.47,105.09,549064.08,0.0,0,1.0,1.0,12,False,False,False,0.0151,New,0.0,True
HA00000051,2023-01-23,2023-01,19,48,1867,75202,0.73,HO6,2511,2,2,3891,2,36,False,36,9,INTRNL06,Captive,4247.2,3928.66,191.12,424.72,177.42,621842.02,0.0,0,1.0,1.0,12,False,False,False,0.0587,Existing,0.0,True
HA00000052,2023-08-24,2023-08,18,12,1416,33701,0.32,HO3,2511,2,1,2671,2,42,True,39,9,INTRNL06,Captive,2607.48,2411.92,117.34,260.75,128.22,384624.0,0.0,0,1.0,1.0,12,False,False,False,0.0847,Recurring,0.0,False
HA00000053,2022-11-12,2022-11,18,48,1483,77002,0.48,HO3,2500,1,5,2686,1,9,True,22,5,INTRNL06,Independent,2898.11,2680.75,130.41,434.72,136.94,345463.69,0.0,0,1.0,1.0,12,False,False,False,0.0605,Existing,0.0,False
HA00000054,2022-01-14,2022-01,18,12,1412,33602,0.68,HO3,2500,2,2,2777,1,37,True,56,9,ASSIST03,Independent,2245.47,2077.06,101.05,336.82,117.36,399888.0,0.0,0,1.0,1.0,12,False,False,True,0.0444,Existing,0.0,True
HA00000055,2022-08-30,2022-08,19,06,1788,90802,0.3,HO6,2500,1,1,2100,2,41,True,27,2,ASSIST01,Independent,2978.5,2755.11,134.03,446.78,139.35,266638.09,0.0,0,1.0,1.0,12,False,False,False,0.1435,Recurring,0.0,True
HA00000056,2024-02-16,2024-02,18,48,564,78201,0.24,HO3,2511,2,1,2083,2,20,True,75,2,INTRNL06,Independent,1999.05,1849.12,89.96,299.86,109.97,428749.81,0.0,0,1.0,1.0,12,False,False,False,0.046,New,0.0,True
HA00000057,2025-10-01,2025-10,18,26,860,48301,0.78,HO3,2500,1,1,3635,3,47,False,39,2,INTRNL06,Captive,3612.48,3341.54,162.56,361.25,158.37,537203.13,0.0,0,1.0,1.0,12,False,False,False,0.0887,Recurring,0.0,True
HA00000058,2023-07-19,2023-07,18,48,1110,77001,0.36,HO3,2500,6,3,2305,1,51,True,39,6,INTRNL06,Independent,1381.19,1277.6,62.15,207.18,91.44,913506.71,0.0,0,0.4986,0.5,6,False,True,False,0.0325,New,0.0,True
HA00000059,2024-06-16,2024-06,18,06,1382,95816,0.7,HO3,2500,1,1,2053,1,55,True,22,1,INTRNL06,Independent,3076.28,2845.56,138.43,461.44,142.29,398416.26,23387.6,1,0.4986,0.5,6,False,False,False,0.046,Existing,22387.6,True
HA00000060,2025-09-25,2025-09,18,48,117,77845,0.23,HO3,2511,1,3,2338,2,48,False,50,9,ASSIST03,Independent,1947.7,1801.62,87.65,292.15,108.43,425643.42,0.0,0,1.0,1.0,12,False,True,False,0.0997,Existing,0.0,True
HA00000061,2022-04-02,2022-04,18,12,1422,33060,0.89,HO3,2511,1,2,3080,1,25,True,48,2,ASSIST03,Independent,2156.96,1995.19,97.06,323.54,114.71,369600.0,4757.53,1,0.4986,0.5,6,False,True,True,0.0707,Existing,0.0,True
HA00000062,2025-10-22,2025-10,18,18,1049,60626,0.33,HO3,2511,1,2,3403,2,19,True,35,3,INTRNL06,Independent,4620.57,4274.03,207.93,693.09,188.62,464120.71,0.0,0,1.0,1.0,12,False,False,False,0.0381,New,0.0,True
HA00000063,2024-08-13,2024-08,18,06,1002,94601,0.21,HO3,2511,1,1,1676,2,17,True,51,9,ASSIST03,Independent,1144.4,1058.57,51.5,171.66,84.33,416362.9,0.0,0,1.0,1.0,12,False,False,False,0.0374,New,0.0,True
HA00000064,2025-12-22,2025-12,18,36,828,12203,0.14,HO3,2511,2,2,1261,3,35,False,58,4,INTRNL06,Independent,1528.42,1413.79,68.78,229.26,95.85,506292.83,0.0,0,1.0,1.0,12,False,True,False,0.0423,New,0.0,True
HA00000065,2023-05-24,2023-05,20,36,145,12203,0.47,HO2,2511,1,2,2967,2,3,True,28,6,INTRNL06,Direct,2334.36,2159.28,105.05,186.75,120.03,479687.58,0.0,0,0.4986,0.5,6,True,False,False,0.0426,Existing,0.0,False
HA00000066,2024-02-15,2024-02,19,36,1074,10001,0.47,HO6,2500,1,1,2197,1,35,True,45,5,INTRNL06,Independent,1802.94,1667.72,81.13,270.44,104.09,263640.0,0.0,0,1.0,1.0,12,False,False,False,0.0226,New,0.0,True
HA00000067,2022-02-04,2022-02,18,36,1837,10583,0.12,HO3,2511,1,1,2742,2,18,True,52,9,INTRNL06,Direct,2375.65,2197.48,106.9,190.05,121.27,329040.0,0.0,0,1.0,1.0,12,True,False,False,0.0027,New,0.0,True
HA00000068,2022-07-25,2022-07,19,06,1331,91201,0.92,HO6,2537,6,5,965,3,6,False,25,9,INTRNL06,Independent,1137.81,1052.47,51.2,170.67,84.13,2022488.19,0.0,0,1.0,1.0,12,False,True,False,0.096,Existing,0.0,True
HA00000069,2025-01-09,2025-01,18,18,671,60901,0.18,HO3,2537,2,2,2430,2,41,True,36,9,INTRNL06,Independent,1193.14,1103.65,53.69,178.97,85.79,717887.58,0.0,0,1.0,1.0,12,False,False,False,0.0295,New,0.0,True
HA00000070,2025-11-12,2025-11,18,18,1824,60601,0.52,HO3,2511,1,1,1741,1,53,False,45,10,ASSIST03,Independent,2857.48,2643.17,128.59,428.62,135.72,861035.54,0.0,0,1.0,1.0,12,False,False,False,0.0533,Existing,0.0,False
HA00000071,2024-10-22,2024-10,18,12,109,33401,0.32,HO3,2500,1,1,2099,2,62,False,55,4,ASSIST03,Independent,3036.57,2808.83,136.65,455.49,141.1,1046265.02,0.0,0,1.0,1.0,12,False,False,False,0.0847,Recurring,0.0,True
HA00000072,2024-10-18,2024-10,20,26,1554,48202,0.1,HO2,2511,1,3,2838,1,20,True,42,3,INTRNL06,Captive,3901.07,3608.49,175.55,390.11,167.03,417813.56,0.0,0,1.0,1.0,12,False,False,False,0.0004,New,0.0,False
HA00000073,2025-11-14,2025-11,20,18,1207,60626,0.74,HO2,2511,2,1,2568,1,62,True,58,9,INTRNL06,Independent,2375.69,2197.51,106.91,356.35,121.27,369792.0,0.0,0,1.0,1.0,12,False,False,False,0.0866,Recurring,0.0,True
HA00000074,2023-07-20,2023-07,18,48,1221,77840,0.25,HO3,2500,1,3,1690,1,25,False,23,4,ASSIST01,Independent,2365.25,2187.86,106.44,354.79,120.96,297595.96,0.0,0,1.0,1.0,12,False,False,False,0.0961,Recurring,0.0,False
HA00000075,2025-02-03,2025-02,19,12,778,33101,0.88,HO6,2511,1,3,1999,1,20,False,58,10,ASSIST01,Captive,2527.65,2338.08,113.74,252.76,125.83,475162.62,0.0,0,1.0,1.0,12,False,False,False,0.018,New,0.0,True
HA00000076,2023-12-04,2023-12,7,06,759,90001,0.22,MHO,2511,4,2,2592,2,28,True,50,9,ASSIST03,Independent,2127.0,1967.48,95.72,319.05,113.81,519337.59,0.0,0,1.0,1.0,12,False,True,True,0.0459,New,0.0,True
HA00000077,2023-02-06,2023-02,18,06,1365,95814,0.84,HO3,2500,1,1,1255,2,36,False,66,1,INTRNL06,Independent,2104.62,1946.77,94.71,315.69,113.14,96000.0,0.0,0,0.4986,0.5,6,False,False,False,0.0072,New,0.0,True
HA00000078,2023-12-31,2023-12,20,12,304,32003,0.75,HO2,2537,1,1,1581,1,14,True,38,6,INTRNL06,Independent,2412.63,2231.68,108.57,361.89,122.38,255453.52,2481.16,1,0.4986,0.5,6,False,True,False,0.0844,Existing,1481.16,True
HA00000079,2022-06-11,2022-06,19,48,1722,75063,0.28,HO6,2500,6,3,1982,1,24,True,56,2,INTRNL06,Independent,1759.82,1627.83,79.19,263.97,102.79,1088398.49,0.0,0,1.0,1.0,12,False,True,False,0.0779,Existing,0.0,True
HA00000080,2022-07-21,2022-07,7,48,1009,76101,0.71,MHO,2500,4,1,2984,3,24,True,65,4,INTRNL06,Independent,3879.67,3588.69,174.59,581.95,166.39,601286.07,0.0,0,0.4986,0.5,6,False,True,False,0.0892,Existing,0.0,True
HA00000081,2024-09-22,2024-09,18,18,1023,61820,0.58,HO3,2500,1,1,2362,1,63,True,43,6,INTRNL06,Independent,2886.32,2669.85,129.88,432.95,136.59,502844.51,0.0,0,0.4986,0.5,6,False,False,False,0.0764,Existing,0.0,True
HA00000082,2022-09-27,2022-09,18,12,1229,32084,0.34,HO3,2511,1,2,2545,2,35,True,41,9,INTRNL06,Independent,3176.59,2938.35,142.95,476.49,145.3,1233561.14,0.0,0,1.0,1.0,12,False,False,False,0.0348,New,0.0,True
HA00000083,2024-03-26,2024-03,20,18,826,60901,0.27,HO2,2511,2,1,2777,1,32,False,43,10,INTRNL06,Independent,2651.84,2452.95,119.33,397.78,129.56,464347.08,0.0,0,1.0,1.0,12,False,False,False,0.017,New,0.0,True
HA00000084,2025-07-18,2025-07,18,48,1739,75063,0.13,HO3,2511,1,1,3015,2,12,True,42,9,ASSIST01,Independent,3732.06,3452.16,167.94,559.81,161.96,361800.0,0.0,0,1.0,1.0,12,False,False,False,0.0085,New,0.0,True
HA00000085,2023-04-01,2023-04,19,12,615,33602,0.73,HO6,2500,2,5,1821,1,2,False,59,8,INTRNL06,Direct,2389.44,2210.23,107.52,191.16,121.68,873921.78,0.0,0,1.0,1.0,12,False,True,False,0.0393,New,0.0,True
HA00000086,2025-06-29,2025-06,18,48,325,77002,0.82,HO3,2500,1,1,1932,3,29,False,44,2,ASSIST03,Captive,1453.13,1344.15,65.39,145.31,93.59,457312.55,5837.44,2,1.0,1.0,12,True,True,False,0.1735,Recurring,837.44,True
HA00000087,2024-10-13,2024-10,19,06,1107,93311,0.11,HO6,2511,1,1,1576,1,16,True,35,1,INTRNL06,Independent,1568.82,1451.16,70.6,235.32,97.06,229579.95,0.0,0,1.0,1.0,12,False,True,False,0.1821,Recurring,0.0,True
HA00000088,2022-10-23,2022-10,18,12,1157,33629,0.28,HO3,2511,1,3,1610,1,48,False,54,9,ASSIST01,Independent,2230.13,2062.87,100.36,334.52,116.9,744087.94,0.0,0,0.4986,0.5,6,False,False,False,0.033,New,0.0,True
HA00000089,2023-12-21,2023-12,19,12,1503,33401,0.06,HO6,2511,4,3,1472,1,33,False,59,2,ASSIST03,Captive,1523.34,1409.09,68.55,152.33,95.7,515886.37,0.0,0,1.0,1.0,12,False,False,True,0.054,Existing,0.0,False
HA00000090,2022-12-04,2022-12,18,18,1078,60615,0.39,HO3,2537,2,5,2620,1,48,False,50,8,INTRNL06,Captive,4006.72,3706.22,180.3,400.67,170.2,455542.48,0.0,0,1.0,1.0,12,False,False,False,0.0739,Existing,0.0,True
HA00000091,2024-05-28,2024-05,18,06,509,93101,0.07,HO3,2500,2,1,3449,1,27,True,44,9,ASSIST01,Independent,4581.36,4237.76,206.16,687.2,187.44,827267.79,0.0,0,0.4986,0.5,6,False,False,False,0.0112,New,0.0,True
HA00000092,2024-12-12,2024-12,18,12,494,33602,0.65,HO3,2511,1,2,2120,2,33,True,25,4,INTRNL06,Captive,2548.4,2357.27,114.68,254.84,126.45,450248.47,0.0,0,1.0,1.0,12,False,False,False,0.0604,Existing,0.0,True
HA00000093,2024-03-02,2024-03,18,12,257,32003,0.85,HO3,2511,4,5,1410,1,56,False,65,9,INTRNL06,Independent,1181.82,1093.18,53.18,177.27,85.45,369864.39,24807.25,1,1.0,1.0,12,False,False,False,0.1373,Recurring,23807.25,True
HA00000094,2022-08-05,2022-08,19,12,1013,32084,0.42,HO6,2537,1,5,1297,2,32,False,74,3,INTRNL06,Captive,918.6,849.7,41.34,91.86,77.56,552982.94,0.0,0,1.0,1.0,12,False,True,False,0.0631,New,0.0,True
HA00000095,2024-02-03,2024-02,18,48,1537,77002,0.82,HO3,2511,1,2,1090,1,28,False,63,9,INTRNL06,Independent,1158.36,1071.48,52.13,173.75,84.75,341670.59,0.0,0,1.0,1.0,12,False,False,False,0.1382,Recurring,0.0,True
HA00000096,2022-07-07,2022-07,18,48,629,77845,0.12,HO3,2500,1,5,2301,1,35,True,47,9,INTRNL06,Independent,2429.87,2247.63,109.34,364.48,122.9,395074.6,0.0,0,1.0,1.0,12,False,False,False,0.1017,Recurring,0.0,True
HA00000097,2023-01-15,2023-01,18,48,1309,78702,0.12,HO3,2500,2,1,800,2,27,True,55,8,ASSIST03,Independent,836.47,773.73,37.64,125.47,75.09,492120.46,0.0,0,1.0,1.0,12,False,False,False,0.0594,Existing,0.0,True
HA00000098,2023-05-08,2023-05,18,48,1454,78702,0.41,HO3,2500,1,1,3110,2,31,False,47,8,INTRNL06,Independent,4536.82,4196.56,204.16,680.52,186.1,408258.25,0.0,0,0.4986,0.5,6,False,False,False,0.0113,New,0.0,True
HA00000099,2024-11-30,2024-11,18,48,1701,75202,0.9,HO3,2511,1,1,3197,2,13,True,60,10,ASSIST03,Independent,2167.31,2004.76,97.53,325.1,115.02,560663.39,0.0,0,1.0,1.0,12,False,False,True,0.0377,New,0.0,True
