FULLPOLICY_NB,POLICYEFFECTIVE_DT,ACCOUNTING_MONTH,INSUREDITEM_TP,POLICYRATEDSTATE_TP,RATEDCOUNTY_TP,ZIP,HAZARD_SCORE,INTEGRATEDCOVERAGE_TP,PROPERTYCOVERAGESUBTYPE_TP,CONSTRUCTION_TP,ROOF_TP,DWELLINGSQUAREFEET_CT,DWELLINGSTORY_CT,HOME_AGE_YR,HAS_MORTGAGE,RATEDINSUREDAGE_CT,MERITPOINT_CT,CREDITMODEL_CD,AGENT_CHANNEL,DIRECTWRITTENPREMIUM_AM,EARNEDPREMIUM_AM,TAX_AM,COMMISSION_EXPENSE_AM,ADMIN_EXPENSE_AM,PPCVRGLIMIT_AM,GROSSLOSSPAIO_AM,CLAIMCOUNT_CT,EARNEDEXPOSURE_CT,WRITENEXPOSURE_CT,POLICYTERM_CT,SEASONAL_IN,MULTIPRODUCTDISCOUNT_FLAG,DelequencyFlag,DiscountRate,New_Existing_Recurring_Flag,NETLOSS_PAID_AM,POLICY_RENEWED_FLAG
HA00000051,2023-01-23,2023-01,19,06,1867,95008,0.86,HO6,2511,2,2,3891,2,36,False,36,9,INTRNL06,Captive,3479.01,3218.08,156.56,347.9,154.37,1129627.31,0.0,0,1.0,1.0,12,False,False,False,0.0587,Existing,0.0,True
HA00000052,2023-08-24,2023-08,18,06,1416,94102,0.74,HO3,2511,2,1,2671,2,42,True,39,10,INTRNL06,Captive,3035.72,2808.04,136.61,303.57,141.07,574314.86,0.0,0,1.0,1.0,12,False,False,False,0.0847,Recurring,0.0,True
HA00000053,2022-11-12,2022-11,18,36,1483,11901,0.01,HO3,2500,1,5,2686,1,9,True,22,8,INTRNL06,Independent,987.71,913.63,44.45,148.16,79.63,774637.37,0.0,0,1.0,1.0,12,False,False,False,0.0605,Existing,0.0,True
HA00000054,2022-01-14,2022-01,18,18,1412,61101,0.29,HO3,2500,2,2,2777,1,37,True,56,2,ASSIST03,Independent,2562.03,2369.88,115.29,384.3,126.86,472054.68,0.0,0,1.0,1.0,12,False,False,True,0.0444,Existing,0.0,True
HA00000055,2022-08-30,2022-08,19,12,1788,34201,0.19,HO6,2500,1,1,2100,2,41,True,27,5,ASSIST01,Independent,1834.13,1696.57,82.54,275.12,105.02,260592.63,0.0,0,1.0,1.0,12,False,False,False,0.1435,Recurring,0.0,True
HA00000056,2024-02-16,2024-02,18,06,564,90802,0.45,HO3,2511,2,1,2083,2,20,True,75,9,INTRNL06,Independent,2504.01,2316.21,112.68,375.6,125.12,383524.09,0.0,0,1.0,1.0,12,False,False,False,0.046,New,0.0,True
HA00000057,2025-10-01,2025-10,18,12,860,32205,0.82,HO3,2500,1,1,3635,3,47,False,39,8,INTRNL06,Captive,5416.97,5010.7,243.76,541.7,212.51,969254.6,0.0,0,1.0,1.0,12,False,False,False,0.0887,Recurring,0.0,True
HA00000058,2023-07-19,2023-07,18,12,1110,33980,0.25,HO3,2500,6,3,2305,1,51,True,39,9,INTRNL06,Independent,4027.36,3725.31,181.23,604.1,170.82,936361.61,0.0,0,0.4986,0.5,6,False,True,False,0.0325,New,0.0,True
HA00000059,2024-06-16,2024-06,18,06,1382,94501,0.28,HO3,2500,1,1,2053,1,55,True,22,10,INTRNL06,Independent,2031.49,1879.13,91.42,304.72,110.94,405927.82,7895.27,1,0.4986,0.5,6,False,False,False,0.046,Existing,6895.27,False
HA00000060,2025-09-25,2025-09,18,48,117,77380,0.12,HO3,2511,1,3,2338,2,48,False,50,2,ASSIST03,Independent,2308.84,2135.68,103.9,346.33,119.27,503589.03,0.0,0,1.0,1.0,12,False,True,False,0.0997,Existing,0.0,True
HA00000061,2022-04-02,2022-04,18,36,1422,10304,0.14,HO3,2511,1,2,3080,1,25,True,48,1,ASSIST03,Independent,3231.13,2988.8,145.4,484.67,146.93,428778.16,5814.15,1,0.4986,0.5,6,False,True,False,0.0707,Existing,4314.15,True
HA00000062,2025-10-22,2025-10,18,48,1049,77001,0.45,HO3,2511,1,2,3403,2,19,True,35,8,INTRNL06,Independent,2862.14,2647.48,128.8,429.32,135.86,804900.81,0.0,0,1.0,1.0,12,False,False,False,0.0381,New,0.0,False
HA00000063,2024-08-13,2024-08,18,12,1002,34201,0.83,HO3,2511,1,1,1676,2,17,True,51,2,ASSIST03,Independent,2733.28,2528.28,123.0,409.99,132.0,232465.0,0.0,0,1.0,1.0,12,False,False,True,0.0374,New,0.0,False
HA00000064,2025-12-22,2025-12,18,18,828,60201,0.08,HO3,2511,2,2,1261,3,35,False,58,10,INTRNL06,Independent,1415.0,1308.88,63.68,212.25,92.45,357694.37,0.0,0,1.0,1.0,12,False,True,False,0.0423,New,0.0,True
HA00000065,2023-05-24,2023-05,20,12,145,33156,0.4,HO2,2511,1,2,2967,2,3,True,28,9,INTRNL06,Direct,2568.42,2375.79,115.58,205.47,127.05,623452.26,0.0,0,0.4986,0.5,6,True,False,False,0.0426,Existing,0.0,True
HA00000066,2024-02-15,2024-02,19,12,1074,33629,0.67,HO6,2500,1,1,2197,1,35,True,45,8,INTRNL06,Independent,1893.22,1751.23,85.19,283.98,106.8,470696.22,0.0,0,1.0,1.0,12,False,False,False,0.0226,New,0.0,True
HA00000067,2022-02-04,2022-02,18,12,1837,33705,0.66,HO3,2511,1,1,2742,2,18,True,52,8,INTRNL06,Direct,4095.52,3788.36,184.3,327.64,172.87,408064.56,0.0,0,1.0,1.0,12,True,False,False,0.0027,New,0.0,True
HA00000068,2022-07-25,2022-07,19,26,1331,48104,0.05,HO6,2537,6,5,965,3,6,False,25,9,INTRNL06,Independent,1067.78,987.7,48.05,160.17,82.03,543885.4,0.0,0,1.0,1.0,12,False,True,False,0.096,Existing,0.0,True
HA00000069,2025-01-09,2025-01,18,48,671,75215,0.22,HO3,2537,2,2,2430,2,41,True,36,9,INTRNL06,Independent,3826.09,3539.13,172.17,573.91,164.78,621982.88,0.0,0,1.0,1.0,12,False,False,False,0.0295,New,0.0,True
HA00000070,2025-11-12,2025-11,18,48,1824,76102,0.46,HO3,2511,1,1,1741,1,53,False,45,3,ASSIST03,Independent,2506.49,2318.5,112.79,375.97,125.19,324382.2,0.0,0,1.0,1.0,12,False,False,False,0.0533,Existing,0.0,False
HA00000071,2024-10-22,2024-10,18,36,109,11201,0.11,HO3,2500,1,1,2099,2,62,False,55,2,ASSIST03,Independent,1348.65,1247.5,60.69,202.3,90.46,290409.27,0.0,0,1.0,1.0,12,False,False,False,0.0847,Recurring,0.0,True
HA00000072,2024-10-18,2024-10,20,06,1554,91201,0.35,HO2,2511,1,3,2838,1,20,True,42,8,INTRNL06,Captive,3120.62,2886.57,140.43,312.06,143.62,441047.74,0.0,0,1.0,1.0,12,False,False,False,0.0004,New,0.0,True
HA00000073,2025-11-14,2025-11,20,36,1207,11530,0.13,HO2,2511,2,1,2568,1,62,True,58,9,INTRNL06,Independent,3714.07,3435.51,167.13,557.11,161.42,623919.8,0.0,0,1.0,1.0,12,False,False,False,0.0866,Recurring,0.0,True
HA00000074,2023-07-20,2023-07,18,48,1221,77002,0.1,HO3,2500,1,3,1690,1,25,False,23,4,ASSIST01,Independent,1850.94,1712.12,83.29,277.64,105.53,248022.28,0.0,0,1.0,1.0,12,False,False,False,0.0961,Recurring,0.0,True
HA00000075,2025-02-03,2025-02,19,26,778,48430,0.11,HO6,2511,1,3,1999,1,20,False,58,6,ASSIST01,Captive,1412.95,1306.98,63.58,141.3,92.39,379322.16,0.0,0,1.0,1.0,12,False,False,False,0.018,New,0.0,True
HA00000076,2023-12-04,2023-12,7,36,759,10701,0.02,MHO,2511,4,2,2592,2,28,True,50,1,ASSIST03,Independent,2219.58,2053.11,99.88,332.94,116.59,1089825.94,0.0,0,1.0,1.0,12,False,True,False,0.0459,New,0.0,True
HA00000077,2023-02-06,2023-02,18,48,1365,75201,0.55,HO3,2500,1,1,1255,2,36,False,66,9,INTRNL06,Independent,1743.45,1612.69,78.46,261.52,102.3,197941.3,0.0,0,0.4986,0.5,6,False,False,False,0.0072,New,0.0,False
HA00000078,2023-12-31,2023-12,20,48,304,75202,0.88,HO2,2537,1,1,1581,1,14,True,38,10,INTRNL06,Independent,1698.37,1570.99,76.43,254.76,100.95,217034.47,9364.43,1,0.4986,0.5,6,False,True,False,0.0844,Existing,8864.43,True
HA00000079,2022-06-11,2022-06,19,18,1722,60901,0.48,HO6,2500,6,3,1982,1,24,True,56,9,INTRNL06,Independent,1736.13,1605.92,78.13,260.42,102.08,910412.06,0.0,0,1.0,1.0,12,False,True,False,0.0779,Existing,0.0,True
HA00000080,2022-07-21,2022-07,7,06,1009,95008,0.76,MHO,2500,4,1,2984,3,24,True,65,10,INTRNL06,Independent,2084.21,1927.89,93.79,312.63,112.53,895008.51,0.0,0,0.4986,0.5,6,False,True,False,0.0892,Existing,0.0,True
HA00000081,2024-09-22,2024-09,18,06,1023,94601,0.29,HO3,2500,1,1,2362,1,63,True,43,9,INTRNL06,Independent,3314.53,3065.94,149.15,497.18,149.44,336862.42,0.0,0,0.4986,0.5,6,False,False,False,0.0764,Existing,0.0,True
HA00000082,2022-09-27,2022-09,18,36,1229,10583,0.45,HO3,2511,1,2,2545,2,35,True,41,9,INTRNL06,Independent,1720.28,1591.26,77.41,258.04,101.61,404587.33,0.0,0,1.0,1.0,12,False,False,False,0.0348,New,0.0,False
HA00000083,2024-03-26,2024-03,20,06,826,91301,0.97,HO2,2511,2,1,2777,1,32,False,43,9,INTRNL06,Independent,6331.63,5856.76,284.92,949.74,239.95,772285.79,0.0,0,1.0,1.0,12,False,False,False,0.017,New,0.0,True
HA00000084,2025-07-18,2025-07,18,12,1739,33060,0.03,HO3,2511,1,1,3015,2,12,True,42,5,ASSIST01,Independent,4269.65,3949.43,192.13,640.45,178.09,619861.5,0.0,0,1.0,1.0,12,False,False,False,0.0085,New,0.0,True
HA00000085,2023-04-01,2023-04,19,48,615,77845,0.26,HO6,2500,2,5,1821,1,2,False,59,9,INTRNL06,Direct,2526.86,2337.35,113.71,202.15,125.81,464254.85,0.0,0,1.0,1.0,12,False,True,False,0.0393,New,0.0,True
HA00000086,2025-06-29,2025-06,18,06,325,94103,0.37,HO3,2500,1,1,1932,3,29,False,44,2,ASSIST03,Captive,3883.77,3592.49,174.77,388.38,166.51,306027.07,10400.73,2,1.0,1.0,12,True,True,False,0.1735,Recurring,8400.73,True
HA00000087,2024-10-13,2024-10,19,12,1107,32801,0.7,HO6,2511,1,1,1576,1,16,True,35,8,INTRNL06,Independent,2020.35,1868.82,90.92,303.05,110.61,394406.31,0.0,0,1.0,1.0,12,False,True,False,0.1821,Recurring,0.0,True
HA00000088,2022-10-23,2022-10,18,48,1157,79901,0.66,HO3,2511,1,3,1610,1,48,False,54,5,ASSIST01,Independent,2529.98,2340.23,113.85,379.5,125.9,355989.5,0.0,0,0.4986,0.5,6,False,False,False,0.033,New,0.0,True
HA00000089,2023-12-21,2023-12,19,36,1503,11901,0.57,HO6,2511,4,3,1472,1,33,False,59,1,ASSIST03,Captive,1923.73,1779.45,86.57,192.37,107.71,421981.01,0.0,0,1.0,1.0,12,False,False,False,0.054,Existing,0.0,True
HA00000090,2022-12-04,2022-12,18,12,1078,33101,0.49,HO3,2537,2,5,2620,1,48,False,50,8,INTRNL06,Captive,3381.48,3127.87,152.17,338.15,151.44,549783.51,0.0,0,1.0,1.0,12,False,False,False,0.0739,Existing,0.0,True
HA00000091,2024-05-28,2024-05,18,12,509,34201,0.42,HO3,2500,2,1,3449,1,27,True,44,5,ASSIST01,Independent,4877.43,4511.62,219.48,731.61,196.32,807314.84,0.0,0,0.4986,0.5,6,False,False,False,0.0112,New,0.0,True
HA00000092,2024-12-12,2024-12,18,36,494,14201,0.21,HO3,2511,1,2,2120,2,33,True,25,8,INTRNL06,Captive,1845.16,1706.77,83.03,184.52,105.35,576238.42,0.0,0,1.0,1.0,12,False,False,False,0.0604,Existing,0.0,True
HA00000093,2024-03-02,2024-03,18,06,257,90401,0.79,HO3,2511,4,5,1410,1,56,False,65,8,INTRNL06,Independent,3976.77,3678.51,178.95,596.52,169.3,627841.09,5222.69,1,1.0,1.0,12,False,False,False,0.1373,Recurring,4472.69,True
HA00000094,2022-08-05,2022-08,19,12,1013,33101,0.47,HO6,2537,1,5,1297,2,32,False,74,10,INTRNL06,Captive,916.87,848.1,41.26,91.69,77.51,209538.61,0.0,0,1.0,1.0,12,False,True,False,0.0631,New,0.0,True
HA00000095,2024-02-03,2024-02,18,36,1537,11354,0.27,HO3,2511,1,2,1090,1,28,False,63,9,INTRNL06,Independent,1095.16,1013.02,49.28,164.27,82.85,203361.68,0.0,0,1.0,1.0,12,False,False,False,0.1382,Recurring,0.0,True
HA00000096,2022-07-07,2022-07,18,06,629,91101,0.2,HO3,2500,1,5,2301,1,35,True,47,9,INTRNL06,Independent,1862.8,1723.09,83.83,279.42,105.88,375713.46,0.0,0,1.0,1.0,12,False,False,False,0.1017,Recurring,0.0,True
HA00000097,2023-01-15,2023-01,18,48,1309,77019,0.73,HO3,2500,2,1,800,2,27,True,55,2,ASSIST03,Independent,962.21,890.04,43.3,144.33,78.87,168434.54,0.0,0,1.0,1.0,12,False,False,False,0.0594,Existing,0.0,True
HA00000098,2023-05-08,2023-05,18,48,1454,77001,0.6,HO3,2500,1,1,3110,2,31,False,47,9,INTRNL06,Independent,2876.75,2660.99,129.45,431.51,136.3,479187.49,0.0,0,0.4986,0.5,6,False,False,False,0.0113,New,0.0,False
HA00000099,2024-11-30,2024-11,18,12,1701,34201,0.17,HO3,2511,1,1,3197,2,13,True,60,2,ASSIST03,Independent,4604.56,4259.22,207.21,690.68,188.14,605517.02,0.0,0,1.0,1.0,12,False,False,True,0.0377,New,0.0,True
